Year,County,Offense Type,Number of Arrests
2017,Otero,MJProduction,1
2017,Otero,MJSmuggle,1
2017,Phillips,MJPossession,1
2017,Pitkin,MJPossession,3
2017,Prowers,MJPossession,2
2017,Pueblo,MJPossession,34
2017,Pueblo,MJUnknown,3
2017,Rio Blanco,MJPossession,2
2017,Rio Grande,MJPossession,8
2017,Routt,MJPossession,42
2017,Routt,MJUnknown,2
2017,Saguache,MJPossession,4
2017,Saguache,MJUnknown,7
2017,Summit,MJPossession,5
2017,Summit,MJUnknown,1
2017,Teller,MJPossession,20
2017,Teller,MJSales,4
2017,Teller,MJUnknown,1
2017,Weld,MJPossession,201
2017,Weld,MJProduction,9
2017,Weld,MJSales,16
2017,Weld,MJSmuggle,1
2017,Weld,MJUnknown,1
